City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor
StMaarten,571.369995117188,283.179992675781,54.939998626709,90831.5703125,2,11.9200000762939,6.42999982833862,1653.39
StMaarten,256.339996337891,86.8600006103516,16.8500003814697,28746.3203125,7,9.1899995803833,11.6599998474121,1706.0
StMaarten,56.5299987792969,27.3299999237061,5.30000019073486,8899.0498046875,7,15.3900003433228,3.0699999332428,1678.29
StMaarten,336.630004882812,146.309997558594,28.3799991607666,47175.3203125,7,0.0,6.26999998092651,1662.0
StMaarten,131.119995117188,56.3400001525879,10.9300003051758,18574.44921875,7,14.789999961853,5.07000017166138,1699.52
StMaarten,43.25,21.5799999237061,4.19000005722046,7143.18994140625,7,0.0,2.28999996185303,1706.0
StMaarten,421.290008544922,179.589996337891,34.8400001525879,59543.26171875,7,0.0,5.0,1709.0
StMaarten,50.3600006103516,27.7399997711182,5.38000011444092,8767.7197265625,7,13.9899997711182,2.45000004768372,1629.0
StMaarten,453.079986572266,164.889999389648,31.9899997711182,53166.609375,7,0.0,6.26999998092651,1662.0
StMaarten,79.379997253418,28.7000007629395,5.57000017166138,9438.919921875,7,9.82999992370605,,1695.0
StMaarten,60.9000015258789,29.0200004577637,5.63000011444092,9357.5595703125,7,9.02999973297119,5.71000003814697,1662.0
StMaarten,103.139999389648,60.1199989318848,11.6599998474121,18955.19921875,7,15.9399995803833,2.82999992370605,1625.22
StMaarten,24.1000003814697,8.93000030517578,1.73000001907349,2935.98999023438,7,0.0,,1695.0
StMaarten,168.270004272461,91.2900009155273,17.7099990844727,30265.41015625,7,0.0,3.50999999046326,1709.0
StMaarten,70.2300033569336,28.2399997711182,5.48000001907349,9308.33984375,7,13.6400003433228,4.32999992370605,1699.0
StMaarten,76.5599975585938,8.65999984741211,1.67999994754791,2732.22998046875,7,19.9300003051758,3.77999997138977,1625.87
StMaarten,191.0,91.3099975585938,17.7099990844727,27595.310546875,7,22.9400005340576,6.69000005722046,1557.78
StMaarten,203.100006103516,94.4599990844727,18.3299999237061,29530.279296875,7,16.1800003051758,5.96000003814697,1611.42
StMaarten,54.4199981689453,25.2800006866455,4.90000009536743,8163.330078125,7,16.1800003051758,2.4300000667572,1664.37
StMaarten,23.5699996948242,7.48000001907349,1.45000004768372,2411.88989257812,7,0.0,2.8199999332428,1662.0
StMaarten,132.419998168945,27.1399993896484,5.26000022888184,8073.2001953125,7,22.9899997711182,3.82999992370605,1533.48
StMaarten,126.76000213623,52.5099983215332,10.1899995803833,16621.849609375,7,29.0699996948242,6.94999980926514,1631.8
StMaarten,20.4500007629395,7.05999994277954,1.37000000476837,2262.78002929688,7,16.7700004577637,2.17000007629395,1653.0
StMaarten,168.479995727539,4.1100001335144,0.800000011920929,984.119995117188,7,41.1300010681152,21.8999996185303,1233.15
StMaarten,126.0,77.3300018310547,15.0,24934.310546875,7,8.72999954223633,8.01000022888184,1662.0
StMaarten,164.770004272461,66.9400024414062,12.9899997711182,22155.41015625,7,0.0,3.05999994277954,1706.0
StMaarten,128.699996948242,23.3799991607666,4.53000020980835,7428.0498046875,7,14.3999996185303,,1638.0
StMaarten,36.5900001525879,13.2299995422363,2.5699999332428,4377.97998046875,7,8.27000045776367,,1706.0
StMaarten,276.350006103516,113.620002746582,22.0400009155273,37670.5703125,7,0.0,5.09999990463257,1709.0
StMaarten,147.039993286133,54.5400009155273,10.5799999237061,17329.69921875,7,16.5599994659424,9.47000026702881,1638.0
StMaarten,37.25,12.1899995803833,2.36999988555908,3782.28002929688,7,26.6000003814697,7.05000019073486,1599.0
StMaarten,37.6100006103516,12.1499996185303,2.35999989509583,3768.3701171875,7,25.5,6.88000011444092,1599.0
StMaarten,198.669998168945,99.6600036621094,19.3299999237061,32983.23828125,7,0.0,3.71000003814697,1706.0
StMaarten,50.3499984741211,14.8400001525879,2.88000011444092,4540.169921875,7,17.9699993133545,10.3100004196167,1578.81
StMaarten,399.170013427734,292.649993896484,56.7700004577637,94359.59375,3,8.23999977111816,5.03999996185303,1662.0
StMaarten,321.299987792969,186.669998168945,36.2099990844727,60827.58984375,7,19.8799991607666,11.1099996566772,1679.7
StMaarten,80.0,47.6199989318848,9.23999977111816,14393.8095703125,7,10.710000038147,19.0699996948242,1558.0
StMaarten,117.98999786377,55.2000007629395,10.710000038147,17651.849609375,7,14.2799997329712,3.74000000953674,1648.31
StMaarten,161.020004272461,47.4700012207031,9.21000003814697,15711.6396484375,7,0.0,3.15000009536743,1706.0
StMaarten,69.0400009155273,25.0699996948242,4.8600001335144,8261.7197265625,7,11.6300001144409,3.00999999046326,1699.0
StMaarten,178.600006103516,90.7900009155273,17.6100006103516,29274.810546875,7,9.89999961853027,3.5,1662.0
