OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Estimated_Installation_Efficiency,Unit_installation_price,Date_added,aoi,Roof_quality,solar_panels,Comment
250,b7799ea3-2c11-4952-aa61-a9478603e5a4,SouthAfrica,21.68,4.76,0.92,1290.79,Single-family residential,22.62,2.02,1397.38,59.55,,,Middelburg,,,
251,b23af170-8a21-4288-b52a-e61455b714be,SouthAfrica,47.6,22.02,4.27,6304.04,Single-family residential,24.39,3.19,1475.63,132.44,,,Middelburg,,,
252,f3db7114-8a16-4386-9866-f1123b3d5b23,SouthAfrica,45.95,25.16,4.88,6725.97,Single-family residential,26.45,2.89,1377.82,146.37,,,Middelburg,,,
253,6bc398b9-25aa-49a1-bd60-291609471994,SouthAfrica,63.4,25.3,4.91,7829.6,Single-family residential,28.69,2.84,1595.45,123.5,,,Middelburg,,,
254,42434c34-b4a1-4c1e-abf2-35898321f0ee,SouthAfrica,343.91,257.8,50.06,73772.24,Commercial,22.87,5.74,1473.61,214.51,,,Middelburg,,,
255,081d5cec-0aeb-4171-8c86-fb56e014297b,SouthAfrica,26.37,12.33,2.39,3723.23,Single-family residential,21.52,,1556.84,141.2,,,Middelburg,,,
256,e95ce31c-1903-4750-91ce-2454014358a4,SouthAfrica,181.41,87.02,16.88,24342.3,Single-family residential,28.06,3.55,1441.93,134.19,,,Middelburg,,,
257,62fa0c84-dee0-46d1-b08f-8819801d771e,SouthAfrica,23.13,8.88,1.72,2474.73,Single-family residential,20.32,,1435.85,107.02,,,Middelburg,,,
258,20fad77e-5c7d-43a1-8d44-39786fce0c0c,SouthAfrica,42.75,23.19,4.49,7255.66,Single-family residential,20.04,2.03,1614.58,169.72,,,Middelburg,,,
259,c4588ffa-4fd7-4443-919d-97f0df9b1746,SouthAfrica,11.2,4.01,0.78,1243.21,Single-family residential,25.66,,1599.2,111.01,,,Middelburg,,,
260,663ff1e5-869c-4d1c-931b-63a42b7dfe80,SouthAfrica,19.48,7.89,1.53,2185.65,Single-family residential,19.04,,1428,112.19,,,Middelburg,,,
261,0bf4af6a-e0c5-40f8-882a-1eb1e3864b77,SouthAfrica,16.22,6.25,1.21,1677.75,Single-family residential,18.13,,1383.66,103.46,,,Middelburg,,,
262,987d626c-b9b8-4d17-8dd7-f93c3ecaed43,SouthAfrica,63.89,27.59,5.35,8246.27,Single-family residential,27.71,2,1540.48,129.06,,,Middelburg,,,
263,bfd07e0f-8279-4602-96b7-00305cb52b46,SouthAfrica,41.23,19.33,3.75,5303.64,Single-family residential,22.59,2.94,1414,128.64,,,Middelburg,,,
264,25e4c3b3-4df3-411a-89ef-0faffef32009,SouthAfrica,12.36,4.21,0.82,1207.96,Schools,22.09,,1478.5,97.71,,,Middelburg,,,
