OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Unit_installation_price,Date_added,Comment,aoi,roof_quality,Estimated_installation_efficiency
"14302",14a02a12-424f-4ee5-b922-04b5856678cf,StMaarten,6.73999977111816,0,0,0,Single-family residential,0,3.23000001907349,,,,,Cul-de-Sac,Good,0
"14303",c3f9fe07-afb4-46be-97e9-4b60c957a3b5,StMaarten,51.4099998474121,12.25,2.38000011444092,3775.82006835938,Single-family residential,19.5400009155273,9.86999988555908,"1588.2",,,,Cole Bay,Good,73.4400024414062
"14304",c2214e67-a84c-478a-9a02-345d35b788a0,StMaarten,133.149993896484,82.1600036621094,15.9200000762939,26463.330078125,Single-family residential,8.76000022888184,3.26999998092651,"1662",,,,Cul-de-Sac,Good,198.75
"14305",732ebd2e-4c55-4224-bf91-caaf6b1c51a1,StMaarten,54.1399993896484,28.6000003814697,5.55000019073486,9221.669921875,Single-family residential,0,5.25,"1662",,,,Cul-de-Sac,Good,170.320007324219
"14306",46d41175-a849-4244-9f16-2b51175c16ea,StMaarten,157.220001220703,70.3000030517578,13.6400003433228,20754.259765625,Single-family residential,34.5099983215332,15.460000038147,"1521.74",,,,Cul-de-Sac,Good,132.009994506836
"14307",fc745eca-5830-4a16-8408-de31da771c41,StMaarten,570.400024414062,403.609985351562,78.3000030517578,138198.96875,Industrial,23.9599990844727,6.96999979019165,"1765",,,,Philipsburg,Good,242.289993286133
"14308",6029d679-8a2f-4eb7-81b1-5dd8032b5a87,StMaarten,45.560001373291,24.7999992370605,4.80999994277954,8365.48046875,Single-family residential,8.27999973297119,4.80000019073486,"1739",,,,Philipsburg,Good,183.600006103516
"14309",d2e624ee-f4b3-4d47-8dea-6b71c133739d,StMaarten,60.9700012207031,23.0699996948242,4.46999979019165,7329.2998046875,Commercial,11.1300001144409,3.4300000667572,"1639.59",,,,Philipsburg,Good,120.220001220703
"14310",1bdafb85-b832-49b8-b61b-4ab13e699d37,StMaarten,119.910003662109,55.3699989318848,10.7299995422363,17336.630859375,Single-family residential,10.6899995803833,3.89000010490417,"1615.53",,,,Philipsburg,Good,144.580001831055
"14311",8202e8d0-6602-4e44-b7da-a76772d4ad53,StMaarten,58.3800010681152,25.4400005340576,4.92999982833862,8385.7197265625,Single-family residential,13.4799995422363,4.46999979019165,"1699.34",,,,Lower Princes Quarter,Good,143.649993896484
"14312",4eef08de-2ae9-4e72-8fd1-d215872ae019,StMaarten,108.129997253418,58.060001373291,11.2600002288818,16782.66015625,Commercial,14.0100002288818,20.4400005340576,"1490",,,,Cul-de-Sac,Good,155.199996948242
"14313",3b4feb1b-617f-4aff-b033-cbe69a7117d9,StMaarten,113.050003051758,59.2299995422363,11.4799995422363,18095.380859375,Public health facilities,15.9700002670288,2.01999998092651,"1576.24",,,,Lower Princes Quarter,Good,160.070007324219
"14314",19b849b6-50d5-47de-bf95-b96b5ea2647f,StMaarten,296.269989013672,140.970001220703,27.3500003814697,46072.05859375,Single-family residential,14.1300001144409,4.1399998664856,"1684.68",,,,Simpson Bay,Good,155.509994506836
