OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Unit_installation_price,Date_added,Comment,aoi
"2621",f5125b2e-bffd-4721-a21b-564cb7dae4a1,StLucia,22.8099994659424,10.6700000762939,2.0699999332428,3073.44995117188,Single-family residential,20.5100002288818,3.63,"1485.0",,2023-01-03T13:15:51.000,,Soufriere
"2622",5313aefa-b75d-4a0a-b1a4-6e88e1b43360,StLucia,40.8899993896484,21.5799999237061,4.17999982833862,6043.10986328125,Single-family residential,22.9200000762939,2.99,"1446.5",,2023-01-03T13:15:51.000,,Soufriere
"2623",3487504a-273c-45b9-88da-6547495b727c,StLucia,24.8500003814697,11.7399997711182,2.27999997138977,2914.75,Single-family residential,24.5,2.05,"1279.0",,2023-01-03T13:15:51.000,,Soufriere
"2624",8ea585f9-7dd8-479c-88a1-51c635e1ff77,StLucia,35.75,16.0300006866455,3.10999989509583,3571.06005859375,Single-family residential,30.9400005340576,2.54,"1148.0",,2023-01-03T13:15:51.000,,Soufriere
"2625",cea13120-2ef7-4426-a134-aa46527c83b5,StLucia,149.639999389648,83.7300033569336,16.2299995422363,24335.08984375,Schools,13.8500003814697,7.24,"1499.65",,2023-01-03T13:15:51.000,,Soufriere
"2626",9a97b649-8980-4731-8600-4352ecfd4992,StLucia,59.2599983215332,33.6100006103516,6.51000022888184,9854.6298828125,Single-family residential,17.7399997711182,2.73,"1513.08",,2023-01-03T13:15:51.000,,Soufriere
"2627",ea36a476-0165-4966-adff-73e2dc992094,StLucia,136.389999389648,84.5699996948242,16.4099998474121,25365.310546875,Single-family residential,23.0200004577637,2.55,"1546.0",,2023-01-03T13:15:51.000,,Soufriere
"2628",9b808a0b-3364-4c10-9bc9-1874d4669e09,StLucia,175.300003051758,94.7699966430664,18.3899993896484,27302.400390625,Single-family residential,22.4699993133545,4.28,"1485.0",,2023-01-03T13:15:51.000,,Soufriere
"2629",eed05ad1-a9f7-40e5-b971-ce1faafc5193,StLucia,96.5999984741211,58.1599998474121,11.2799997329712,16359.3896484375,Single-family residential,22.1200008392334,,"1449.87",,2023-01-03T13:15:51.000,,Soufriere
"2630",6aaf18e3-1d7b-43ba-ba13-d9e5efc74497,StLucia,145.059997558594,85.379997253418,16.5599994659424,23630.69921875,Single-family residential,22.1499996185303,6.74,"1426.62",,2023-01-03T13:15:51.000,,Soufriere
"2631",357ceca4-b5f8-4209-af86-01f660f55fcd,StLucia,70.2600021362305,40.2900009155273,7.82000017166138,11401.9697265625,Public,12.6599998474121,3.95,"1458.6",,2023-01-03T13:15:51.000,,Soufriere
"2632",f24791ab-9e9e-4eba-ba6e-0de5abb9117a,StLucia,120.559997558594,72.3600006103516,14.0500001907349,20334.529296875,Single-family residential,22.5599994659424,2.55,"1447.18",,2023-01-03T13:15:51.000,,Soufriere
"2633",0066ee7f-794e-4638-aa0d-11ca1cb9a8e6,StLucia,95.5599975585938,54.4300003051758,10.5500001907349,13935.5595703125,Single-family residential,24.0499992370605,8.6,"1320.98",,2023-01-03T13:15:51.000,,Soufriere
"2634",3bfe854c-cfc3-407b-bc3f-21a261663918,StLucia,147.059997558594,89.9199981689453,17.4300003051758,25199.400390625,Single-family residential,22.0499992370605,2.84,"1445.97",,2023-01-03T13:15:51.000,,Soufriere
"2635",e5b611a2-03a6-47b5-bc18-cbfa450840e7,StLucia,73.8000030517578,42.7999992370605,8.30000019073486,12321.7001953125,Single-family residential,24.5,2.52,"1484.0",,2023-01-03T13:15:51.000,,Soufriere
"2636",18ab2f26-580d-49db-b8c9-c307fe720de5,StLucia,42.0400009155273,21.9799995422363,4.26000022888184,6328.509765625,Schools,15.8400001525879,4.2,"1484.0",,2023-01-03T13:15:51.000,,Soufriere
"2637",5584cd6a-2411-495f-9bac-4a766d33be11,StLucia,182.199996948242,113.519996643066,22.0200004577637,32682.080078125,Schools,18.1700000762939,4.8,"1484.0",,2023-01-03T13:15:51.000,,Soufriere
"2638",8a61ebe3-1c32-4361-a572-a5678fceaa24,StLucia,144.119995117188,90.7099990844727,17.5799999237061,25368.490234375,Single-family residential,24.8600006103516,2.84,"1442.96",,2023-01-03T13:15:51.000,,Soufriere
"2639",07e45b85-1462-417b-b026-2c28d8b544cb,StLucia,39.6500015258789,20.8099994659424,4.03999996185303,5804.5,Single-family residential,23.6599998474121,2.77,"1438.05",,2023-01-03T13:15:51.000,,Soufriere
"2640",f8d34a6d-3b7f-4d6a-a6f1-4850ca62177a,StLucia,152.580001831055,87.7099990844727,17.0200004577637,23674.05078125,Single-family residential,21.5699996948242,2.46,"1391.3",,2023-01-03T13:15:51.000,,Soufriere
"2641",412a34dc-9f80-478e-979a-44ae4cc053bb,StLucia,114.050003051758,67.7300033569336,13.1400003433228,19338.900390625,Single-family residential,21.0400009155273,3.78,"1471.8",,2023-01-03T13:15:51.000,,Soufriere
"2642",4ef55dc4-a6e6-4fc4-9e18-9a6a9e389647,StLucia,109.370002746582,65.8099975585938,12.7700004577637,18222.599609375,Schools,21.2000007629395,3.8,"1427.4",,2023-01-03T13:15:51.000,,Soufriere
"2643",1ea03293-6b61-4935-b2c8-d295509d835b,StLucia,20.5200004577637,9.34000015258789,1.80999994277954,2795.38989257813,Single-family residential,19.1700000762939,,"1542.32",,2023-01-03T13:15:51.000,,Soufriere
"2644",4062f5be-e42a-4296-a28e-41e39dcd6d72,StLucia,140.470001220703,81.3499984741211,15.7799997329712,24097.8203125,Single-family residential,19.7700004577637,3.45,"1526.93",,2023-01-03T13:15:51.000,,Soufriere
"2645",453babcf-83d9-4abf-a07c-e0cdbc9f8d5d,StLucia,103.980003356934,62.4900016784668,12.1199998855591,17366.9296875,Single-family residential,25.2199993133545,2.38,"1432.49",,2023-01-03T13:15:51.000,,Soufriere
"2646",841b8e6f-8e8d-4faa-8551-8755d531c4fd,StLucia,174.399993896484,97.5100021362305,18.9200000762939,27110.259765625,Single-family residential,23.3700008392334,2.63,"1433.18",,2023-01-03T13:15:51.000,,Soufriere
"2647",475dfed0-46f6-4963-88c9-3d637bf7955f,StLucia,189.649993896484,111.550003051758,21.6399993896484,33455.51953125,Single-family residential,24.9599990844727,5.22,"1546.0",,2023-01-03T13:15:51.000,,Soufriere
"2648",c3d0c091-2c4f-4caa-a114-608203f56af7,StLucia,19.5100002288818,8.03999996185303,1.55999994277954,2411.60009765625,Single-family residential,20.6499996185303,3.39,"1546.0",,2023-01-03T13:15:51.000,,Soufriere
"2649",c27313e7-54e0-427e-89ce-e7d115b16681,StLucia,256.470001220703,146.649993896484,28.4500007629395,39744.69140625,Single-family residential,21.0400009155273,6.11,"1397.0",,2023-01-03T13:15:51.000,,Soufriere
"2650",36f480ab-c08c-4a0a-aeeb-1dc39920b936,StLucia,116.129997253418,71.6800003051758,13.9099998474121,19710.890625,Single-family residential,24.0599994659424,3.16,"1417.47",,2023-01-03T13:15:51.000,,Soufriere
"2651",feb1e0d8-5ba4-4ba0-8168-e740188485f7,StLucia,138.320007324219,63.4599990844727,12.3100004196167,17794.220703125,Single-family residential,26.4599990844727,4.19,"1445.3",,2023-01-03T13:15:51.000,,Soufriere
"2652",8c23a66f-6643-41fb-abcc-4071d4f1861f,StLucia,110.699996948242,67.4700012207031,13.0900001525879,19328.33984375,Single-family residential,23.8400001525879,,"1476.69",,2023-01-03T13:15:51.000,,Soufriere
